timestamp_ms,temperature,humidity
103,23.3,23.3
163,23.3,23.3
223,23.3,23.3
283,23.3,23.3
343,23.3,23.3
403,23.3,23.3
463,23.3,23.3
523,23.3,23.3
583,23.3,23.3
643,23.3,23.3
703,23.3,23.3
763,23.3,23.3
823,23.3,23.3
883,23.3,23.3
943,23.3,23.3
1003,23.3,23.3
1063,23.3,23.3
1123,23.3,23.3
1183,23.3,23.3
1243,23.3,23.3
1303,23.3,23.3
1363,23.3,23.3
1423,23.3,23.3
1483,23.3,23.3
1543,23.3,23.3
1603,23.3,23.3
1663,23.3,23.3
1723,23.3,23.3
1783,23.3,23.3
1843,23.3,23.3
1903,23.3,23.3
1963,23.3,23.3
2023,23.3,23.3
2083,23.3,23.3
2149,23.3,23.3
2209,23.3,23.3
2269,23.3,23.3
2329,23.3,23.3
2389,23.3,23.3
2449,23.3,23.3
2509,23.3,23.3
2569,23.3,23.3
2629,23.3,23.3
2689,23.3,23.3
2749,23.3,23.3
2809,23.3,23.3
2869,23.3,23.3
2929,23.3,23.3
2989,23.3,23.3
3049,23.3,23.3
3109,23.3,23.3
3169,23.3,23.3
3229,23.3,23.3
3289,23.3,23.3
3349,23.3,23.3
3409,23.3,23.3
3469,23.3,23.3
3529,23.3,23.3
3589,23.3,23.3
3649,23.3,23.3
3709,23.3,23.3
3769,23.3,23.3
3829,23.3,23.3
3889,23.3,23.3
3949,23.3,23.3
4009,23.3,23.3
4069,23.3,23.3
4129,23.3,23.3
4195,23.3,23.3
4255,23.3,23.3
4315,23.3,23.3
4375,23.3,23.3
4435,23.3,23.3
4495,23.3,23.3
4555,23.3,23.3
4615,23.3,23.3
4675,23.3,23.3
4735,23.3,23.3
4795,23.3,23.3
4855,23.3,23.3
4915,23.3,23.3
4975,23.3,23.3
5035,23.3,23.3
5095,23.3,23.3
5155,23.3,23.3
5215,23.3,23.3
5275,23.3,23.3
5335,23.3,23.3
5395,23.3,23.3
5455,23.3,23.3
5515,23.3,23.3
5575,23.3,23.3
5635,23.3,23.3
5695,23.3,23.3
5755,23.3,23.3
5815,23.3,23.3
5875,23.3,23.3
5935,23.3,23.3
5995,23.3,23.3
6055,23.3,23.3
6115,23.3,23.3
6175,23.3,23.3
6241,23.3,23.3
6301,23.3,23.3
6361,23.3,23.3
6421,23.3,23.3
6481,23.3,23.3
6541,23.3,23.3
6601,23.3,23.3
6661,23.3,23.3
6721,23.3,23.3
6781,23.3,23.3
6841,23.3,23.3
6901,23.3,23.3
6961,23.3,23.3
7021,23.3,23.3
7081,23.3,23.3
7141,23.3,23.3
7201,23.3,23.3
7261,23.3,23.3
7321,23.3,23.3
7381,23.3,23.3
7441,23.3,23.3
7501,23.3,23.3
7561,23.3,23.3
7621,23.3,23.3
7681,23.3,23.3
7741,23.3,23.3
7801,23.3,23.3
7861,23.3,23.3
7921,23.3,23.3
7981,23.3,23.3
8041,23.3,23.3
8101,23.3,23.3
8161,23.3,23.3
8221,23.3,23.3
8287,23.3,23.3
8347,23.3,23.3
8407,23.3,23.3
8467,23.3,23.3
8527,23.3,23.3
8587,23.3,23.3
8647,23.3,23.3
8707,23.3,23.3
8767,23.3,23.3
8827,23.3,23.3
8887,23.3,23.3
8947,23.3,23.3
9007,23.3,23.3
9067,23.3,23.3
9127,23.3,23.3
9187,23.3,23.3
9247,23.3,23.3
9307,23.3,23.3
9367,23.3,23.3
9427,23.3,23.3
9487,23.3,23.3
9547,23.3,23.3
9607,23.3,23.3
9667,23.3,23.3
9727,23.3,23.3
9787,23.3,23.3
9847,23.3,23.3
9907,23.3,23.3
9967,23.3,23.3
10027,23.3,23.3
10087,23.3,23.3
10147,23.3,23.3
10207,23.3,23.3
10267,23.3,23.3
10333,23.3,23.3
10393,23.3,23.3
10453,23.3,23.3
10513,23.3,23.3
10573,23.3,23.3
10633,23.3,23.3
10693,23.3,23.3
10753,23.3,23.3
10813,23.3,23.3
10873,23.3,23.3
10933,23.3,23.3
10993,23.3,23.3
11053,23.3,23.3
11113,23.3,23.3
11173,23.3,23.3
11233,23.3,23.3
11293,23.3,23.3
11353,23.3,23.3
11413,23.3,23.3
11473,23.3,23.3
11533,23.3,23.3
11593,23.3,23.3
11653,23.3,23.3
11713,23.3,23.3
11773,23.3,23.3
11833,23.3,23.3
11893,23.3,23.3
11953,23.3,23.3
12013,23.3,23.3
12073,23.3,23.3
12133,23.3,23.3
12193,23.3,23.3
12253,23.3,23.3
12313,23.3,23.3
12379,23.3,23.3
12439,23.3,23.3
12499,23.3,23.3
12559,23.3,23.3
12619,23.3,23.3
12679,23.3,23.3
12739,23.3,23.3
12799,23.3,23.3
12859,23.3,23.3
12919,23.3,23.3
12979,23.3,23.3
13039,23.3,23.3
13099,23.3,23.3
13159,23.3,23.3
13219,23.3,23.3
13279,23.3,23.3
13339,23.3,23.3
13399,23.3,23.3
13459,23.3,23.3
13519,23.3,23.3
